,location,latitude,longitude
131,"Kingston, Jamaica",18.017874,-76.809906
132,"Rome, Italy",41.902782,12.496365
133,"Jerusalem, Israel",31.768318,35.213711
134,"Dublin, Ireland",53.349804,-6.26031
135,"Baghdad, Iraq",33.312805,44.361488
136,"Tehran, Iran",35.689198,51.388973
137,"Jakarta, Indonesia",-6.17511,106.865036
138,"Mumbai, India",19.075983,72.877655
139,"Reykjavík, Iceland",64.147209,-21.9424
140,"Budapest, Hungary",47.497913,19.040236
141,"Tegucigalpa, Honduras",14.072275,-87.192139
142,"Port-au-Prince, Haiti",18.594395,-72.307434
143,"Georgetown, Guyana",6.801279,-58.155125
144,"Bissau, Guinea-Bissau",11.85262,-15.60631
145,"Conakry, Guinea",9.50913,-13.71255
146,"Guatemala City, Guatemala",14.634915,-90.506882
147,"St. George's, Grenada",33.516609,-89.919952
148,"Athens, Greece",37.98381,23.727539
149,"Accra, Ghana",5.603717,-0.186964
150,"Rhine-Ruhr, Germany",51.427071,6.88649
151,"Berlin, Germany",52.520008,13.404954
152,"Tbilisi, Georgia",41.69363,44.80162
153,"Serekunda, Gambia, The",13.4348,-16.67831
154,"Libreville, Gabon",0.416198,9.467268
155,"Paris, France",48.856613,2.352222
156,"Paris, France",48.856613,2.352222
157,"Helsinki, Finland",60.169857,24.938379
158,"Helsinki, Finland",60.169857,24.938379
159,"Nasinu, Fiji",-18.074579,178.501556
160,"Addis Ababa, Ethiopia",8.980603,38.757759
161,"Manzini, Eswatini",-26.496889,31.37896
162,"Tallinn, Estonia",59.436962,24.753574
163,"Asmara, Eritrea",15.339,38.937111
164,"Bata, Equatorial Guinea",1.85882,9.76827
165,"San Salvador, El Salvador",13.69294,-89.218193
166,"Cairo, Egypt",30.04442,31.235712
167,"Guayaquil, Ecuador",-2.14763,-79.94175
168,"Quito, Ecuador",-0.180653,-78.467834
169,"Dili, East Timor",-8.556856,125.56031
170,"Santo Domingo, Dominican Republic",18.486057,-69.931213
